,"2020","2020","2020","2019","2019","2019","2018","2018","2018","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)"
"Country","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural","Total","Urban","Rural"
"Finland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gabon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia","92","95","87","92","95","87","92","95","87","92","95","87","92","95","87","92","95","87","92","95","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ghana","42","47","35","41","47","35","41","47","35","41","47","35","41","47","35","41","47","35","41","47","35","41","47","35","41","47","35","41","47","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","","","","77","83","70","77","83","70","77","83","70","77","83","70","77","83","70","77","83","70","76","83","70","76","83","70","76","83","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","20","33","13","20","33","13","20","33","13","20","33","13","20","33","13","20","33","13","20","33","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","18","23","14","17","21","13","15","19","12","14","18","11","12","16","9","10","14","8","9","12","7","7","11","5","6","9","4","4","7","3","3","5","1","1","4","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","","","0","","","0","","","0","","","0"
"Guyana","","","","","","","77","75","78","77","75","78","77","75","78","77","75","78","77","75","78","77","75","78","77","75","78","77","75","78","77","75","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","22","28","15","22","28","15","23","28","16","23","29","16","23","29","16","23","30","17","24","30","17","24","31","17","24","31","17","24","32","18","25","32","18","25","32","18","24","32","18","24","32","18","24","32","18","","","","","","","","","","","","","","","","","",""
"Honduras","","","","","","","","","","","","","84","87","80","84","87","80","84","87","80","84","87","80","84","87","80","84","87","80","84","87","80","84","87","80","84","87","80","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","68","82","60","68","82","60","68","82","60","67","82","60","67","82","60","67","82","60","67","82","60","67","82","60","67","82","60","67","82","60","67","82","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
